1,0.955
2,0.971
3,0.975
4,0.972
5,0.981
6,0.969
7,0.972
8,0.972
9,0.974
10,0.969
11,0.977
12,0.963
13,0.97
14,0.98
15,0.973
16,0.967
17,0.985
18,0.98
19,0.97
20,0.969
21,0.98
22,0.971
23,0.976
24,0.981
25,0.972
26,0.982
27,0.967
28,0.978
29,0.964
30,0.968
31,0.973
32,0.965
33,0.975
34,0.979
35,0.98
36,0.978
37,0.987
38,0.979
39,0.972
40,0.982
41,0.978
42,0.976
43,0.979
44,0.983
45,0.976
46,0.963
47,0.979
48,0.982
49,0.978
50,0.979
51,0.98
52,0.984
53,0.981
54,0.975
55,0.973
56,0.983
57,0.976
58,0.983
59,0.986
60,0.979
61,0.979
62,0.986
63,0.976
64,0.978
65,0.985
66,0.974
67,0.972
68,0.983
69,0.985
70,0.982
71,0.98
72,0.979
73,0.98
74,0.982
75,0.981
76,0.973
77,0.977
78,0.982
79,0.987
80,0.981
81,0.981
82,0.975
83,0.983
84,0.975
85,0.979
86,0.982
87,0.989
88,0.981
89,0.977
90,0.983
91,0.984
92,0.986
93,0.973
94,0.989
95,0.978
96,0.985
97,0.976
98,0.982
99,0.981
